src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size,vpn_label
199.232.22.49,192.168.31.160,443,59262,6,415.7567310333252,14,1504,107.42857142857144,38.02201295812408,Non-VPN
192.168.31.160,74.121.143.240,59387,443,6,50.499151945114136,5,272,54.4,0.4898979485566356,Non-VPN
74.121.143.240,192.168.31.160,443,59387,6,50.50853681564331,5,325,65.0,11.349008767288886,Non-VPN
192.168.31.220,239.255.255.250,45974,1900,17,2764.806720972061,79,11297,143.0,0.0,Non-VPN
192.168.31.160,34.107.140.113,59273,443,6,90.14282703399658,3,165,55.0,0.0,Non-VPN
34.107.140.113,192.168.31.160,443,59273,6,415.3875439167023,12,1341,111.75,26.413774815425377,Non-VPN
192.168.31.160,107.178.244.119,59062,443,6,90.09570288658142,3,165,55.0,0.0,Non-VPN
107.178.244.119,192.168.31.160,443,59062,6,282.6198089122772,12,1341,111.75,26.413774815425377,Non-VPN
18.138.171.212,192.168.31.160,443,51415,6,0.1119070053100586,4,279,69.75,16.618889854620253,Non-VPN
192.168.31.160,18.138.171.212,51415,443,6,0.0004441738128662,2,108,54.0,0.0,Non-VPN
192.168.31.160,35.207.140.152,59268,443,6,90.7729308605194,3,165,55.0,0.0,Non-VPN
35.207.140.152,192.168.31.160,443,59268,6,442.7593510150909,15,1158,77.2,17.37124060048677,Non-VPN
192.168.31.160,95.173.218.112,59366,443,6,0.0,1,55,55.0,0.0,Non-VPN
174.137.133.49,192.168.31.160,443,59418,6,1.4877991676330566,3,193,64.33333333333333,14.613540144521982,Non-VPN
192.168.31.160,174.137.133.49,59418,443,6,1.1958940029144287,2,108,54.0,0.0,Non-VPN
95.173.218.112,192.168.31.160,443,59366,6,0.0,1,54,54.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,59151,53,17,0.1089899539947509,2,190,95.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,49961,53,17,0.1087110042572021,2,190,95.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,54557,53,17,0.1040980815887451,2,142,71.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,64836,53,17,0.1040000915527343,2,142,71.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,59151,17,0.0,2,318,159.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,49961,17,0.0012619495391845,2,414,207.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,54557,17,0.0,1,135,135.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,64836,17,0.0,1,136,136.0,0.0,Non-VPN
192.168.31.160,152.228.215.159,59403,443,6,0.2077441215515136,2,108,54.0,0.0,Non-VPN
192.168.31.160,35.212.104.44,59412,443,6,0.341789960861206,2,108,54.0,0.0,Non-VPN
192.168.31.160,74.121.143.240,59389,443,6,0.0,1,54,54.0,0.0,Non-VPN
192.168.31.160,108.158.251.53,59427,443,6,88.58413004875183,10,2370,237.0,391.7545149707914,Non-VPN
192.168.31.160,108.158.251.53,59428,443,6,91.10377597808838,15,3494,232.9333333333333,342.8734395597821,Non-VPN
108.158.251.53,192.168.31.160,443,59428,6,245.46177792549133,27,9447,349.8888888888889,482.49876862888993,Non-VPN
108.158.251.53,192.168.31.160,443,59427,6,88.5106418132782,13,6396,492.0,558.7030310666634,Non-VPN
192.168.31.160,35.186.253.211,51366,443,6,90.0962700843811,3,165,55.0,0.0,Non-VPN
35.186.253.211,192.168.31.160,443,51366,6,90.14111304283142,3,198,66.0,0.0,Non-VPN
152.228.215.159,192.168.31.160,443,59403,6,0.0,2,582,291.0,237.0,Non-VPN
74.121.143.240,192.168.31.160,443,59389,6,0.0,1,54,54.0,0.0,Non-VPN
35.212.104.44,192.168.31.160,443,59412,6,0.0004830360412597,2,132,66.0,12.0,Non-VPN
192.168.31.160,192.168.31.1,50747,53,17,1.616313934326172,6,452,75.33333333333333,3.72677996249965,Non-VPN
192.168.31.160,192.168.31.1,60332,53,17,1.6162760257720947,4,302,75.5,3.570714214271425,Non-VPN
192.168.31.1,192.168.31.160,53,50747,17,1.586143970489502,6,1063,177.16666666666666,43.72038680320912,Non-VPN
192.168.31.1,192.168.31.160,53,60332,17,1.6492700576782229,4,655,163.75,32.7595405950694,Non-VPN
192.168.31.160,192.168.31.1,53515,53,17,1.386246919631958,4,302,75.5,2.8722813232690143,Non-VPN
192.168.31.1,192.168.31.160,53,53515,17,1.4081218242645264,3,520,173.33333333333334,28.58126814696802,Non-VPN
172.104.35.204,192.168.31.160,443,59408,6,0.4195289611816406,3,186,62.0,11.31370849898476,Non-VPN
192.168.31.160,172.104.35.204,59408,443,6,0.3008401393890381,3,162,54.0,0.0,Non-VPN
192.168.31.160,27.123.42.204,59436,443,6,0.3395378589630127,10,2381,238.1,391.2570638339965,Non-VPN
192.168.31.160,27.123.42.204,59437,443,6,47.20448613166809,27,4415,163.5185185185185,263.4600778486703,Non-VPN
192.168.31.160,192.168.31.1,52290,53,17,0.098154067993164,2,152,76.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,64669,53,17,0.1079599857330322,2,156,78.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,52402,53,17,955.6512498855592,3,229,76.33333333333333,2.357022603955158,Non-VPN
27.123.42.204,192.168.31.160,443,59436,6,0.1851937770843505,12,6203,516.9166666666666,515.4923954067822,Non-VPN
